id,collection,dc.contributor,dc.contributor.author,dc.coverage,dc.creator,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.submitted,dc.description,dc.format.extent,dc.format.medium,dc.identifier.uri,dc.language.iso,dc.relation (for Q&A and Public classes),dc.relation.ispartof (for Q&A and Public classes),dc.relation.ispartofseries (for Q&A and Public classes),dc.rights,dc.rights.holder,dc.rights.license,dc.rights.uri,dc.subject,dc.subject.keyword,dc.subject.person,dc.subject.technique,dc.subject.other,dc.title,dc.title.alternate
Library supplied value,Library supplied value,Bhavāni Siegel,Vishwamitra David Prisk,Salt Spring Yoga Center,Baba Hari Dass,Library supplied value,Library supplied value,YYYY/MM/DD,Library supplied value,correct for spelling and typo errors - use IAST when appropriate,Library supplied value,PDF (searchable),Library supplied value,en_US,Satsańga,Ayurveda,,public,Sri Rama Foundation,Creative Commons: Attribution-NonCommercial-ShareAlike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Humanities and Religion,for Vcheck,for Vcheck,for Vcheck,for Vcheck,correct for spelling and typo errors,as written- no corrections please
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,Special Topic Darśana,Āyurveda,,,,,,,,,,,,
,,Instructions:,,,,,,,,,,,,,,Samādhi/ Enlightenment,,,,,,,,,,,,
,,Library supplied value,implies exactly what it says; no information is offered by administrators.  The Library will fill in the values ,,,,,,,,,,,,,Types of Yoga,Mantra Yoga ,,,,,,,,,,,
,,supplied text,the value listed or the format listed should be enforced ,,,,,,,,,,,,,,Nad Yoga,,,,,,,,,,,
,,,"pull down menu, copy entire cell and paste into library copy spreadsheet for that metadata field",,,,,,,,,,,,,,Aṣṭāṅga Yoga,,,,,,,,,,,
,,correct for spelling and typo errors,"as directed, check text for spelling and typo errors",,,,,,,,,,,,,,Laya Yoga,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Tantra Yoga,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bhakti Yoga,,,,,,,,,,,
,"A note about dc.relation, dc.relation.ispartof, and dc.relation.ispartofseries.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Miscellaneous,,,,,,,,,,,,
,These three fields when used correctly are intended to allow for more specific searching of darshan or recording of specific classes related to s broader context.,,,,,,,,,,,,,,,Symbolism,Rāmāyaṇa,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Samkhya,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Yantra,,,,,,,,,,,
,,,,,,,,,,,,,,,,The Mind,,,,,,,,,,,,
,Such searching can occur in the following contexts:,,,,,,,,,,,,,,,"Guṇa, Attachment, Liberation",numbers 1-74,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A class recording is part of an academic program and forms one session of a course curriculum for that program. In this instance the Program is the value for dc.relation field (e.g., YTT 300), the Curricula number (YTT 305) is the part of that program and the class session order (3) is the part of series value.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Public Class recording is available for the 6th class of the Upanishad class series. The dc.relation value is Upanishad, the dc.relation.ispartofseries value is the class number 6. There would be no value for the field dc.relation.ispartof.",,,,,,,,,,,,,,Retreats,New Year's,,,,,,,,,,,,
,"Another Public Class recording from the Bhagavad Gita class is that of Chapter 15, sloka 19. In this instance the dc.relation field value is Bhagavad Gita Class recordings, the field dc.relation.ispartof value would be Chapter 15 and the field of dc.relation.ispartofseries would be Sloka 19.",,,,,,,,,,,,,,,Going Deeper,,,,,,,,,,,,
,"A given darshan transcription occurred as part of a Satsang meeting. As these are not a listed series, the only relevant fields are dc.relation which would have the value of Satsang",,,,,,,,,,,,,,,Liberation,,,,,,,,,,,,
,"A given darshan occurred and is only classified as darshan, not as part of a retreat nor as part of a class, an informal moment or two of darshan. It would have the following values: dc.relation - darshan, dc.relation.ispartof - left blank, dc.relation.ispartofseries - left blank.",,,,,,,,,,,,,,,Reunion,,,,,,,,,,,,
,"Darshan occurs as part of a retreat, say the afternoon of the second day of a New Year’s Retreat. Those values for the fields of relation would be dc.relation= YYYY NewYears Retreat; dc.relation.ispartof = day 2; and dc.relation.ispartofseries = afternoon.",,,,,,,,,,,,,,,Sal Spring Yoga Center Annual Retreat,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Vancouver,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Individual Q and A,Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,,,,,darśana,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,numbers 1-74,,,,,,,,,,,,
,,,,,,,,,,,,,,,,numbers I-IV,,,,,,,,,,,,
,,,,,,,,,,,,,,,,numbers 1-18,,,,,,,,,,,,
