Language Code,,,Official Word,variation 1:,variation 2:,variation 3:,variation 4:,variation 5:,variation 6:,variation 7:
E,,,abandon,abandons,abandoning,abandoned,abandonment,abandoningly,,
E,,,abide,abides,abode,abiding,abided,,,
E,,,ability,abilities,,,,,,
E,,,abolish,abolishes,abolished,abolishable,abolishment,,,
E,,,absent,absentee,absently,,,,,
E,,,absolute,absolutely,absolutes,absolutism,absolution,,,
E,,,absorb,absorbs,absorbed,absorbing,absorbedly,absorbedness,absorbance,
E,,,abstain,abstains,abstained,abstaining,abstention,abstainment,,
E,,,abstract,abstracts,abstracted,abstracting,abstraction,abstracedly,,
E,,,abundance,abundancy,abundant,abundantly,,,,
E,,,accept,accepts,accepted,accepting,acceptable,acceptably,acceptability,acceptance
E,,,accident,accidents,accidental,accidentally,accidentality,,,
E,,,accompany,accompanies,accompanied,accompanying,accompaniment,accompanyist,accompanist,
E,,,accomplish,accomplishes,accomplished,accomplishing,accomplishment,accomplisher,accomplishable,
E,,,accord,accords,accorded,according,accordingly,accordant,accordance,
E,,,account,accounts,accounted,accounting,accountable,accountably,,
E,,,accumulate,accumulates,accumulating,accumulated,accumulation,accumulator,,
E,,,accurate,accuracy,accurately,,,,,
E,,,accuse,accuses,accusing,accusation,accusal,accused,accusative,
E,,,acid,acids,acidly,acidy,acider,acidest,,
E,,,acquire,acquires,acquired,acquiring,acquisition,,,
E,,,act,acts,acted,acting,actor,action,,
E,,,adamantine,adamantines,adamantinely,,,,,
E,,,addict,addicts,addicted,addicting,addiction,addictively,,
E,,,address,addresses,addressed,addressing,addressable,,,
E,,,adhere,aderes,adhered,adhering,adherence,,,
E,,,administer,administers,administered,administering,administration,,,
E,,,adore,adores,adored,adoring,adoration,adoringly,,
E,,,aerial,aerials,aerialist,aerially,,,,
E,,,affair,affairs,,,,,,
E,,,affect,affects,affected,affecting,affectation,affective,,
E,,,affinity,affinities,,,,,,
E,,,afflict,afflicts,afflicted,afflicting,affliction,afflictive,,
E,,,after-sound,after-sounds,,,,,,
E,,,age,ages,aged,aging,ageist,,,
E,,,agent,agents,agentive,,,,,
E,,,agitate,agitates,agitating,agitated,agitation,agitative,agitatively,agitator
E,,,agree,agreeable,agrees,agreeing,agreed,agreement,agreeably,
E,,,agriculture,agriculture,agricultural,agriculturally,,,,
E,,,aim,aims,aiming,aimed,aimable,,,
E,,,air,airs,aired,airing,airily,,,
E,,,alert,alerts,alerting,alerted,alertedly,alertingly,,
E,,,alien,aliens,alienish,,,,,
E,,,align,aligns,aligning,aligned,alignment,aligner,alignable,
E,,,alive,aliveness,alively,,,,,
E,,,alligator,alligator,alligators,,,,,
E,,,allow,allows,allowing,allowed,allowable,allowably,allowance,
E,,,almighty,allmightiness,almightily,almightiful,,,,
E,,,almond,almonds,almondine,,,,,
E,,,Almora,,,,,,,
E,,,alone,alonely,aloner,alonest,,,,
E,,,alter,alters,altered,altering,alteration,alteringly,,
E,,,alternate,alternates,alternated,alternating,alternation,alternative,alternatively,
E,,,altruism,altruistic,altruist,altruisms,,,,
E,,,ambrosia,ambrosial,ambrosiac,,,,,
E,,,amity,amities,amicable,amiable,amorous,,,
E,,,ammonium,ammoniac,amoniacal,ammonia,,,,
E,,,amorous,amorously,amourousness,,,,,
E,,,amuse,amuses,amused,amusing,amusement,amusedly,amuser,
E,,,analogy,analogizes,analogizing,analogized,analogies,analogous,analogously,
E,,,analyze,analyzes,analyzed,analyzing,analyst,analysis,analyst,analytic
E,,,anathema,anathematic,anathematize,anathematism,,,,
E,,,anatomy,anatomical,anatomist,anatomizes,anatomizing,anatomized,anatomical,anatomist
E,,,ancestor,ancestral,ancestry,,,,,
E,,,ancient,ancients,,,,,,
E,,,anesthetic,anesthetics,anesthetical,,,,,
E,,,aniconic,aniconism,aniconist,,,,,
E,,,animal,animals,animalistic,,,,,
E,,,annihilate,annihilated,annihilates,annihilating,annihilation,annihilator,annihilatingly,
E,,,announce,announced,announces,announcing,announcement,announcer,,
E,,,answer,answers,answering,answered,answerable,,,
E,,,antagonize,antagonizes,antagonized,antagonzing,antagonist,antagonism,antagonizable,
E,,,antelope,antelopes,,,,,,
E,,,antipathy,antipathetic,antipathetical,,,,,
E,,,anus,anal,anals,anally,anality,anal-,ani,
E,,,anvil,anvils,,,,,,
E,,,anxious,anxiously,anxiousness,,,,,
E,,,apathy,apathetic,apathetical,apathetically,,,,
E,,,aperture,apertures,,,,,,
E,,,apex,apices,apical,,,,,
E,,,aphorism,aphorismic,aphoristical,aphoristically,,,,
E,,,appear,appears,appeared,appearing,appearance ,appearer,,
E,,,appellation,appellational,,,,,,
E,,,append,appended,appends,appending,appendix ,appendices,,
E,,,apply,applied,applies,applicable,applying,applicability ,application,applicably
E,,,apprehend,apprehended,apprehends,apprehending,apprehension ,,,
E,,,archery,archeries,archer,,,,,
E,,,area,areas,areally,,,,,
E,,,arid,aridness,aridity,,,,,
E,,,Aries,,,,,,,
E,,,arm,arms,armed ,armies ,armpits ,arming,,
E,,,arrange,arranged,arranges,arranging,arrangement ,arranger,,
E,,,arrogant,arrogantly,,,,,,
E,,,arrow,arrows,,,,,,
E,,,arsenic,,,,,,,
E,,,articulate,articulates,articulated,articulating,articulation,articulateness,articulately,
E,,,artificial,artificially,,,,,,
E,,,artist,artistic,artisan,artists,,,,
E,,,Aryan,Aryans,,,,,,
E,,,ascertain,ascertained,ascertains,ascertaining,ascertainment,,,
E,,,ascetic,ascetics,asceticism,ascetical,,,,
E,,,ash,ashes,ashing,ashed,,,,
E,,,aspect,aspects,aspectual,aspectually,,,,
E,,,aspire,aspires,aspiring,aspiration,aspirational,aspirant,aspirants,
E,,,Assam,Assamic,,,,,,
E,,,assemble,assembled,assembles,assembling,assembly ,assembler,,
