Code,Devanagari,Comments,Official Name,IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique  to ITRANS  ,,,
N,,,Adolph Hitler,,,,,Hitler,,,,,,,,,
N,,,Albert Einstein,,,,,Einstein,,,,,,,,,
N,,,Amar Dass Greg Gludt (Amar),,,,,,,,,,,,,,
N,,,Ambika Cynthia Copple,,,,,Ambika,,,,,,,,,
N,,"co-contributor, chalk board reader for Gita classes with Babaji at PCC and writer for Pathways",Amritanand Gilbert,,,,,Amritanand ,,,,,,,,,
N,,deceased husband of Kalpana T,Anand Dass Tabachnik (AD),,,,,tabachnik,AD,,,,,,,,
N,आनन्दमयी,,Ānandamayī Ma,,,,,,,,,,,,,,
N,,Herbalist,Ananta Michael Tierra,,,,,ananta,tierra,michael,,,,,,,
N,,,Anapurna Victoria Shuts,,,,,anapurna,,,,,,,,,
N,,,Anuradha Ens,,,,,,,,,,,,,,
N,,,Anupama Susan Forson,,,,,anupama,,,,,,,,,
N,,,Anurag,,,,,anurāg,,,,,,,,,
N,,"satsang person, RN",Aradhana,,,,,,,,,,,,,,
N,,Ma Renu's daughter?,Archana ,,,,,,,,,,,,,,
N,,named in class notes for 1/5/10 brahmasutra class,Ashu Singla,,,,,,,,,,,,,,
N,,,Atma Richard Timan,,,,,timan,,,,,,,,,
N,अरविन्द घोष,,Aurobindo Ghose,Sri Aurobindo,,,,,,,,,,,,,
N,,,Avinash Timothy Walsh,,,,,,,,,,,,,,
N,,,B.K.S. Iyengar,,,,,Iyengar,,,,,,,,,
N,बाबाजि महाराज्,"also called Mahāvatāra Bābājī, Guru of Lāhirī  Mahāśaya",Bābājī Mahārāja,Babaji Maharaja,,,BAbAjI MahArAja,,,,,,,Baabaajii Mahaaraaja,,,
N,,,Badri Dass,,,,,,,,,,,,,,
N,बल्योगेश्वर्,"aka Guru Maharaji, born Prem Rawat (प्रेम रावत) in Haridwar, speaker and author",Balyogeshwar,,,,,balyogeshwar,,,,,,,,,
N,,,Barbara,,,,,,,,,,,,,,
N,,,Barili,,,,,,,,,,,,,,
N,,former prime minister of Pakistan,Benazir Bhutto,,,,,benazir,bhutto,,,,,,,,
N,,,Bhairab James Lazar,,,,,bhairab,,,,,,,,,
N,,,Bhaskar,,,,,,,,,,,,,,
N,,,Bhavani Siegel,,,,,bhavani,,,,,,,,,
N,,(son is Harish Prather),Bholanath Prather,,,,,bholanath,Bholenath,,,,,,,,
N,भृगु,"one of the 7 great sages, the first compiler of predictive astrology, and also the author of Bhṛgu Samhita, the astrological (jyotisha) classic; Bhṛgu is considered a manasaputra (""mind-born-son"") of Brahma",Bhṛgu,Bhrgu,Bhṛigu,Bhrigu,bhRgu,Brigu,,,,,,bRRigu,bR^igu,,
N,,,Bill Clinton,,,,,clinton,,,,,,,,,
N,,,Brajesh Gerald Friedberg,,,,,Brajesh Gerald Friedberg,,,,,,,,,
N,,,Brother Lawrence Nicolas Herman,,,,,lawrence,,,,,,,,,
N,,,Bruno,,,,,,,,,,,,,,
N,बुद्ध,,Buddha,,,,,,,,,,,,,,
N,,,Caesar,,,,,,,,,,,,,,
N,चरक,"physician and principle contributor to Āyurveda and the Caraka Saṃhitā, circa 1 century BCE ",Caraka,,,,,charaka,,,,,,,,,
N,,,Carl Gustav Jung,,,,,jung,,,,,,,,,
N,,,Carlebach,,,,,carlebach,,,,,,,,,
N,,Peruvian-American author,Carlos Castañeda,,,,,castaneda,,,,,,,,,
N,,,Chandra Kala Lucy Holt (Chandra),,,,,Chandra Kala Lucy Holt (Chandra),,,,,,,,,
N,,,Chandra Winterbotham,,,,,,,,,,,,,,
N,,,Charla,,,,,,,,,,,,,,
