Lang code,Devanagari,Definition and notes,IAST (Official Word),IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique to ITRANS  ,,,
S,अभावात्,"not existing, absence",abhāvāt,abhavat,,,abhAvAt,,,,,,,abhaavaat,abhAwAt,abhaawaat,
S,अभवति,begin to exist; to be present or near at hand,ābhavati,abhavati,,,Abhavati,,,,,,,aabhavati,,,
S,अभय,"absence or removal of fear, safety, fearlessness",abhaya,,,,,,,,,,,,,,
S,अभिभव,"overpowering, predominance, powerful; suppress",abhibhava,,,,,,,,,,,,,,
S,अभिभवात्,from being overpowered (by others),abhibhavāt,abhibhavat,,,abhibhavAt,,,,,,,abhibhavaat,abhibhawAt,abhibhavaat,
S,अभिघातात्,"from the affliction, hardship, suffering",abhighātāt,abhighatat,,,abhighAtAt,,,,,,,abhighaataat,,,
S,अभिजातस्य,"of pure born, transparent",abhijātasya,abhijatasya,,,abhijAtasya,,,,,,,abhijaatasya,,,
S,अभिमान,"haughty, conceited, pride, hostile intention; self-awareness, self-assertion",abhimāna,abhimana,,,abhimAna,,,,,,,abhimaana,,,
S,अभिमानः,"haughty, conceited, pride, hostile intention; self-awareness, self-assertion",abhimānaḥ,abhimanah,,,abhimAnaH,,,,,,,abhimaanaH,,,
S,अभिमात,desired,abhimata,,,,,,,,,,,,,,
S,अभिनिवेश,"clinging to life, or fear of death (fifth of five kleśas, afflictions)",abhiniveśa,abhinivesa,abhiniveśha,abhinivesha,abhiniveza,,,,,,,abhinivesha,abhiniwesha,,
S,अभ्यन्तर,internal,abhyantara,,,,,ābhyantara,,,,,,,,,
S,आभ्यन्तरम्,internal,ābhyantaram,abhyantaram,,,Abhyantaram,,,,,,,aabhyantaram,,,
S,अभ्यास्,persistent practice,abhyāsa,abhyasa,,,abhyAsa,abhayas,,,,,,abhyaasa,,,
S,अभ्यासः,persistent practice,abhyāsaḥ,abhasah,,,abhyAsaH,,,,,,,abhaasaH,,,
S,अभ्यां,by means of,abhyāṃ,abhyam,,,abhyAM,abhyaṁ,abyam,,,,,abhyA.m,abhyA.n,abhyaaM,
S,अभ्यां,by means of,abhyāṃ,,,,,,,,,,,abhyaa.m,abhyaa.n,,
S,आचार,custom or practice,ācāra,acara,āchāra,achara,AchAra,acharas,,,,,,aachaara,,,
S,आचार्य,a preceptor; guru,ācārya,acarya,āchārya,acharya,AchArya,acharyas,,,,,,aachaarya,,,
S,अचेतन,"inanimate, unconscious",acetana,,achetana,,,achetan,,,,,,,,,
S,अचेतनम्,almost unconscious (from the Bhāvavata Prāṇa),acetanam,,achetanam,,,,,,,,,,,,
S,आदान,manipulation,ādāna,adana,,,AdAna,,,,,,,aadaana,,,
S,आदर्श,"a mirror, ideal model, act of perceiving by the eyes",ādarśa,adarsa,ādarśha,adarsha,Adarza,,,,,,,aadarsha,,,
S,अदर्शन,"not seeing, a latent condition, beyond the range of vision, lack of discernment",adarśana,adarsana,adarśhana,adarshana,Adarzana,,,,,,,aadarshana,,,
S,आदौ,in the beginning,ādau,adau,,,Adau,,,,,,,aadau,,,
S,अधर,support or basis,ādhāra,adhara,,,AdhAra,adara,adharas,,,,,aadhaara,,,
S,अधर्मेण,by means of vice,adharmeṇa,adharmena,,,adharmeNa,,,,,,,,,,
S,अधार्मिक,"wicked or impious, unrighteous",adhārmika,adharmika,,,adhArmika,adharmic,undharmic,,,,,adhaarmika,,,
S,अधस्तात्,"from below, previously, downward",adhastāt,adhastat,,,adhastAt,,,,,,,adhastaat,,,
S,अधि,"(as prefix to verbs & nouns) above; over & above; besides; from; from the presence of; after; for; instead of; on; at; in comparison with; over, upon, concerning; superior",adhi,,,,,,,,,,,,,,
S,आधिभौतिक,"derived or produced from primitive elements, or created beings; external",ādhibhautika,adhibhautika,,,Adhibhautika,,,,,,,aadhibhautika,,,
S,अधिभूत,"the perishable factors in creation are the organs of cognition, feeling, and perception. The infinite Self expresses its power through perishable prakṛti, which manifests as the body, senses, mind, intellect, ego, and the various objects of the senses. Collectively these are known as adhibhūta. This is also called apara prakṛti, the lower nature of God.",adhibhūta,adhibhuta,,,adhibhUta,,,,,,,adhibhuuta,,,
S,अधिदैवत,"Daivata means presiding deities of the sense organs, mind, and intellect. Adhidaivata is the indweller that presides over mind, intellect, and senses in a living being. Adhidaivata represents the vital energy or life of the whole creation, including both the sentient and the insentient. Adhiydaivata is known by the names Sūtrātma, Hiraṇyagarbha, Prajāpati, and Brahmā.",ādhidaivata,adhidaivata,,,Adhidaivata,,,,,,,aadhidaivata,Adhidaiwata,aadhidaiwata,
S,आधिदैविक,"related to supernatural causes, refers to one of the three types of pain, i.e. the pain caused by floods, fires, earthquakes, or other supernatural causes",ādhidaivika,adhidaivika,,,Adhidaivika,adhidaiva,,,,,,aadhidaivika,aadhidaiwika,Adhidaiwika,
S,अधिगमः,"attainment, realization",adhigamaḥ,adhigamah,,,adhigamaH,,,,,,,,,,
S,अधिमात्रत्वात्,"intense, extreme, ultimate",adhimātratvāt,adhimatratvat,,,adhimAtratvAt,,,,,,,adhimAtratwAt,adhimaatratvaat,adhimaatratwaat,
S,अधिष्ठानात्,because there must be some controlling agent (K17),adhiṣṭhānāt,adhisthanat,adhiṣhṭhānāt,adhishthanat,adhiSThAnat,,,,,,,adhishhThAnat,adhishhThaanat,,
S,अधिवासितं,"scented, perfumed; baivaḥ adhivāsitam, the subtle body is tinged with dispositions (K40)",adhivāsitam,adhivasitam,,,adhivAsitam,,,,,,,adhivaasitam,adhiwAsitam,adhiwaasitam,
S,अधियज्ञ,"the act of perceiving, feeling, and thinking is yajña. The sense objects are poured into the yajña fire of the sense organs. The Self is the enjoyer and the Lord of all sacrifices. Adhyajña is the all pervading supreme God of creation, Īśvara.",adhiyajña,adhiyajna,,,adhiyajJa,adiyajna,,,,,,adhiyaj~na,adhiyaGYa,,
S,अधो,downward; lower; under,adho,,,,,,,,,,,,,,
S,अध्यात्म,"the Self expressed through the mind, body, senses, and intellect; formless, subtle and all pervading; the totality of the conscious spirits of all individual souls; spiritual; in regard to the ātman",adhyātma,adhyatma,,,adhyAtma,,,,,,,adhyaatma,,,
S,आध्यात्मिक,"related to self, refers to one of the three types of pain, i.e. the pain caused by injury, illness, or negative emotions",ādhyātmika,adhyatmika,,,AdhyAtmika,,,,,,,adhyaatmika,,,
S,आध्यात्मिकः,"related to self, refers to one of the three types of pain, i.e. the pain caused by injury, illness, or negative emotions",ādhyātmikaḥ,adhyatmikah,,,AdhyAtmikaH,ādhyātmikah,,,,,,aadhyaatmikaH,,,
S,अध्यवसायः,"having determined, mental effort; ascertainment, will; in the ascertainment of, definite cognition",adhyavasāyaḥ,adhyavasayah,,,adhyavasAyaH,,,,,,,adhyavasaayaH,adhyawasAyaH,adhyawasaayaH,
S,आदि,the rest,ādi,adi,,,Adi,,,,,,,aadi,,,
S,आदिशति,"salutes, greets",ādiśati,adisati,ādiśhati,adishati,Adizati,,,,,,,aadishati,,,
S,आदित्या,"name of the sun as a deity; son of Aditi, the “mother of the Gods”",āditya,aditya,,,Aditya,,,,,,,aaditya,,,
